Artist name,Artist id,Track name,Track popularity,Genres,Followers,uri
WAS,0Vy8ogc0toTWyui4W7FEB6,All About the Music,0,[],4574,spotify:track:6LJtbogXZNVpjIxb88HvyA
TWICE,7n2Ycct7Beij7Dj7meI4X0,What is Love?,0,['k-pop'],21604923,spotify:track:5m95gCTAiHshTaajznt5fA
Ryan Adams,2qc41rNTtdLK0tV3mJn2Pm,Do You Still Love Me?,0,"['alt country', 'americana', 'singer-songwriter']",576715,spotify:track:2lz8pL2v1G6FOr9JHZnZsI
Cora Novoa,3PQuCFd5KBN1aPRUMIBjt7,Golden Apples - Original Mix,0,[],8132,spotify:track:0Ik5kegsd9xawPGn4Newk3
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Ziggy Stardust - Live,0,"['glam rock', 'art rock']",11278035,spotify:track:2ttJpyK7P6nfymZcfkT7aG
Asian Dub Foundation,2EeUsNnv2BcVIGhBZ5SV8z,Semira,0,"['dub', 'big beat']",117048,spotify:track:6e3OztXorSnyGi6BfAsAiE
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Book Of Love (feat. Polina),0,['tropical house'],1301667,spotify:track:75GsBUERypMbXKnvIEAszl
Passenger,0gadJ2b9A4SKsB1RFkBb66,Let Her Go,0,['folk pop'],3596831,spotify:track:4AsFCxjsEl5yJxnD8tdFFf
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Serenade,0,['classic rock'],3204997,spotify:track:1J6fYNJNFdY1DKN2fWUyZ9
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,Got To Give It Up,0,"['motown', 'soul', 'northern soul', 'quiet storm']",5710241,spotify:track:1cQBO3VJxv6RWmCsB5KSOI
Benjamin Clementine,7zHIrsSBL7A0gEJfzv1m7z,London,0,['art pop'],388162,spotify:track:0rwqlRQZvt4YCTecPrpOiY
João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,Amor certinho,0,"['bossa nova', 'brazilian jazz', 'samba', 'latin jazz', 'cool jazz', 'jazz', 'mpb']",669184,spotify:track:5ZkZeWPUKtLT19WKP1hosw
Manel,40tHhop0T30DwienQBmTxb,Sabotatge,0,[],149334,spotify:track:2Og0CPgPwzCpgkJN1lItAY
Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,In A Drawer,0,[],1033779,spotify:track:67SutUSDHx1ZjSd2Kqz37w
Suicide,6uVeWolwyRDrT84lLsaZyW,Dream Baby Dream,0,"['proto-punk', 'post-punk', 'krautrock']",186378,spotify:track:3MmogIpfk1GVXRMmRjKLGI
The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,Fall Together,0,[],742093,spotify:track:5D26M2BX03PlFpxqPQV1sv
The Maccabees,0vW8z9pZMGCcRtGPGtyqiB,Spit It Out,0,[],372717,spotify:track:4CXwWowaVZh879vWnWCQPs
C Duncan,0x3sTIYnP56TnL6bbyMU2i,Say,0,[],28363,spotify:track:2wOMCoPjEMu3JfpSPuAvdi
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Ain't Nobody - Loves You Better,0,['tropical house'],1301667,spotify:track:5GyGp5VOo1m5QeIIXKoHbc
trentemøller,4O71i7ke5iIBX6RNSFoZbS,River in Me,0,"['minimal techno', 'electronica']",400218,spotify:track:1rDjE1UGzEvRwxIjOQh5Yi
Grimes,053q0ukIDRgzwTr4vNSwab,Flesh without Blood,0,['art pop'],2534224,spotify:track:4ZcGbQ5dOKX6rJk4yvza9R
White Lies,6ssXMmc5EOUrauZxirM910,Take It Out on Me,0,[],527739,spotify:track:3wqT6ltLITKqKOWF9V7BMn
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,33 “GOD”,0,['indie folk'],3824509,spotify:track:1LfWibYjk0TD8YNPtzym9A
Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Pretty Pimpin,0,[],529571,spotify:track:3l9eg9RtisizG12a1D6nZl
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,'Tis a Pity She Was a Whore,0,"['glam rock', 'art rock']",11278035,spotify:track:0v60rM2HLSatgUyVZDrLwm
EL VY,3zsR0Nsw8G2KuzKSdmosPI,"Return to the Moon (Political Song for Didi Bloome to Sing, with Crescendo)",0,[],75945,spotify:track:1pKeRK6rB2lsIzCySm4NUg
Crystal Fighters,75EZuo5MHV2572NRpMWotC,All Night,0,[],354667,spotify:track:5a5CNtq6BTvgLcWUg2oDTR
The Smiths,3yY2gUcIsjMr8hjo51PoJ8,Bigmouth Strikes Again - Live,0,"['new wave', 'madchester', 'jangle pop']",7054322,spotify:track:0NozEhQWSmgcNbiVSecxH9
Dan Sartain,6AZ4TQhtH9GsoTFe2CxR2n,Pass This On,0,['garage rock'],11144,spotify:track:3rZdJC3GUk2AL9I4VX0X1X
Pillow Person,7JLNe8RaswarHnCBxNgbe2,Go Ahead,0,[],5523,spotify:track:38ZnskF9kyNhbtagvJ7b7o
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,untitled 06 06.30.2014.,0,"['hip hop', 'west coast hip hop']",39622404,spotify:track:3cmW5eArAwzxsOsSaHBC8j
Low,0wz0jO9anccPzH04N7FLBH,Lies,0,"['slowcore', 'dream pop', 'post-rock']",277724,spotify:track:1rzv9iCRz3PX1KR0oIM5z3
!!!,1mmehjf7eHA10uHMisZGJg,Freedom! '15,0,"['alternative dance', 'new rave', 'electroclash']",165082,spotify:track:3IcQQjnvQTrwwX2wV5QwtQ
DJ Crazy J Rodriguez,3n6DxOAaKCu5aR076SzKcp,Don't You Want My Bad Romance,0,[],15299,spotify:track:0zMlUmJD6Wy7bbJRseUmBu
Cameo,545idYhdloaSlLGBY8E9u2,Word Up,0,['funk'],659174,spotify:track:43r1dGvg8RkARjctRlSYNC
Hollywood Principle,6ldZGvFDjs6KafLouTBHJ9,Firework,0,[],23654,spotify:track:6szLqHKGtFLISbzOOawZ4h
The Avalanches,3C8RpaI3Go0yFF9whvKoED,Subways,0,[],568184,spotify:track:5WMiFgMoNciqWWh2HOI6lZ
ANOHNI,6VJZYivuYJGCrPuOAnI7Qo,Drone Bomb Me,0,"['chamber pop', 'art pop', 'baroque pop']",179271,spotify:track:2qIX2RvAbAvZ4VwGPmbhE3
Mystery Jets,09K1H1DgyIXHsMx2j7KTFX,Telomere,0,[],167026,spotify:track:19E2uNfG1Mez8c6sqGGbr8
La Habitación Roja,1PVE74Pf9ejCjOzdxlsHC6,You Gotta Be Cool,0,['indie'],126639,spotify:track:41kzHJMrW8rPdYUfvz8Tl8
Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,Casual Party,0,[],1033779,spotify:track:3SDvhnNWx9vM6d2lIwwwwg
Aloe Blacc,0id62QV2SZZfvBn9xpmuCl,I Need A Dollar,0,[],742088,spotify:track:6q1qACcezH6eH77Xljh5QV
Lucho Bermúdez,5x1E6GVoNd2Haj7Jtvg3E0,Danza Negra,0,"['tropical music', 'cumbia']",52870,spotify:track:4v59GACyqPo6oS1cgK8AQO
Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,Nobody Really Cares If You Don't Go to the Party,0,[],607821,spotify:track:3UkoT8HGhrlYpmwaLw83EX
Beck,3vbKDsSS70ZX9D2OcvbZmS,Up All Night,0,[],1652955,spotify:track:0klua1U9FBgZXlEC80LXvt
Siouxsie and the Banshees,1n65zfwYIj5kKEtNgxUlWb,Hong Kong Garden,0,"['post-punk', 'darkwave', 'new wave', 'deathrock', 'cold wave']",1253930,spotify:track:6zQhANi5mDTELfSuUFPx4Q
Talco,443KHruraFfm6t1cK8SJCc,Danza dell'autumno rosa,0,"['ska punk', 'ska']",104458,spotify:track:5URdvc0ldwDebg1NGqZduh
The Bambi Molesters,1dRGueaS4tR1zmizinwXbx,Malaguena,0,"['surf rock', 'exotica']",12111,spotify:track:29j8O18EZi6i6Kdx3WZQD4
The 1975,3mIj9lX2MWuHmhNCA7LSCW,Give Yourself A Try,0,[],7691059,spotify:track:619pVMIK3WvX529JIkQTY3
Pigeon John,3RfeWhoxAqlNRNcywG7RJj,The Bomb,0,[],48394,spotify:track:7nrB9RHZrjtSjv98UXZ5cc
Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Girlfriend (feat. Dâm-Funk),0,"['art pop', 'french pop']",725084,spotify:track:6PpbRUIbMyUbJkWHS3eQ8j
DIIV,4OrizGCKhOrW6iDDJHN9xd,Under the Sun,0,"['shoegaze', 'dream pop']",400013,spotify:track:3yR8cAdli5Ohn3dUlS1PgV
Negramaro,1X9iZlQXfAAx4Vvmlqeao7,Sei,0,['italian singer-songwriter'],1180290,spotify:track:0R7971qKgDfF8zvqCWtgF1
Negramaro,1X9iZlQXfAAx4Vvmlqeao7,Sei,0,['italian singer-songwriter'],1180290,spotify:track:0R7971qKgDfF8zvqCWtgF1
The National,2cCUtGK9sDU2EoElnk0GNB,The System Only Dreams in Total Darkness,0,['indie rock'],1664468,spotify:track:1HAzsv7VCvbgqrpenTRWj1
Khruangbin,2mVVjNmdjXZZDvhgQWiakk,Texas Sun,0,[],2058534,spotify:track:3k5oLgungD1dSOGLqQdIQw
Olivia Newton-John,4BoRxUdrcgbbq1rxJvvhg9,Physical,0,[],1706547,spotify:track:3hVrI7snZMTmHCnbwME47u
Khruangbin,2mVVjNmdjXZZDvhgQWiakk,Texas Sun,0,[],2058534,spotify:track:3k5oLgungD1dSOGLqQdIQw
The Young Punx,3gkX03yW2WrvcDMp04TKjN,Map of Tasmania,0,"['electro swing', 'nu disco']",6089,spotify:track:5317S2kRdE0tQFOqvtnuNu
Chimbala,4VVEpEhC8NcR7AqNEds42U,Rueda,0,['dembow'],661665,spotify:track:71NGDQ9vSPXm55pyWeAxKK
Seu Jorge,0i1s9WcIu0PrUvHzALgofo,Motoboy,0,"['mpb', 'samba', 'pagode']",1727285,spotify:track:3igPqdztX8cbaBwhXvOqCy
Tame Impala,5INjqkS1o8h1imAzPqGZBb,Reality In Motion,0,"['indie', 'psychedelic pop']",8715911,spotify:track:4PFMCTG5u4xNc9B1HPtzI1
Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Sparky's Dream,0,"['power pop', 'jangle pop', 'britpop']",150373,spotify:track:1yRvKs56kf5QzWelHfKAS8
The Strokes,0epOFNiUfyON9EYx7Tpr6V,Brooklyn Bridge To Chorus,0,"['garage rock', 'indie rock', 'alternative rock']",6194424,spotify:track:5gzm0zFeHjYfteQu7x2uus
HAIM,4Ui2kfOqGujY81UcPrb5KE,The Steps,0,[],1384870,spotify:track:4JOkWaNiPjycCHgYuiJjzy
Efecto Pasillo,6CSa1r92LtHHdLG6kRabU3,Cuando me siento bien,0,[],389892,spotify:track:5RnIhMDBrItR8pe4sh7hXR
Ginebras,5w3bs8jNvbb0QHf5Lo0sva,Con Altura,0,[],69973,spotify:track:6IUcgkyvBqclTPgHz3ljTR
The Go! Team,6veTV9sF06FBf2KN0xAdvo,Mayday,0,['alternative dance'],91248,spotify:track:4ivuQzVn4rgYOrw8GtUrPH
The Devlins,2iEzHy2OpgKEdTiYXA0rJv,Waiting,0,[],9019,spotify:track:3VLsoDP8Ea6RCXOjnohdad
alt-J,3XHO7cRUPCLOr6jwp8vsx5,Taro,0,"['indie', 'indie rock']",3389632,spotify:track:36ylLzMtvJ2CItc7bN4TcF
Jungle,59oA5WbbQvomJz2BuRG071,"Heavy, California",0,[],1652153,spotify:track:0Gpq0lllEPZf98gVo9C4uS
Moloko,4aaBjq7VqqQvpSF69GglvO,Sing It Back,0,['trip hop'],480065,spotify:track:49KhCrRQZG2PFikixwpNTi
Skream,2jbP92oFLWqPqogflK1wlW,"You Know, Right? - Original Mix",0,['dubstep'],137266,spotify:track:7B3LbhQczo9nkPhOhO16gD
Todd Terje,49gaZqfow2v8EEQmjGyEIw,Johnny and Mary,0,['nu disco'],258512,spotify:track:3AsLKjKWlv1oCNWv92VqG4
Fickle Friends,1nhSLEYdoBHG6cJ8NDwoF1,Million,0,['indie pop'],136837,spotify:track:2PTnS24qtSaVveCaoffpEY
Robert Palmer,530Sdm7eqqzWBdDmILMgnu,Johnny And Mary,0,[],1067974,spotify:track:3VHFkxbekZQF7xLRd7KjgL
Baio,50lhyY7UVI9NyVHl79rVgk,"Endless Me, Endlessly",0,[],29744,spotify:track:0BBbB7vUjS51TZ25iaXeld
The Fake Arts,5S6qkfgH9rzovFfDABPjn0,Let It Rain On Me,0,[],1115,spotify:track:0x8UgNUNf58U2zf9XC8hPl
Nicholas Britell,18oYqNtcLUHrqO7LfX7qni,Succession - Main Title Theme,0,[],158562,spotify:track:3jI7Yeg7a2d7BMc8CxABVM
The Go! Team,6veTV9sF06FBf2KN0xAdvo,Mayday,0,['alternative dance'],91248,spotify:track:4ivuQzVn4rgYOrw8GtUrPH
Pau Corea,4ojsgMdSCtj1w9PuBB4ugG,La cumbre,0,[],1090,spotify:track:1rHG2OlI02wLPbQK5jiOoS
Lesley Gore,08b2PA6eFyugsWAk41eQKZ,You Don't Own Me,0,[],419474,spotify:track:0iaFePL0pnS45yBS8sy3Jd
Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe,Disfruto,0,['latin indie'],4704437,spotify:track:6DO3GVrBRPrSUbuLHGnQzr
alt-J,3XHO7cRUPCLOr6jwp8vsx5,Taro,0,"['indie', 'indie rock']",3389632,spotify:track:7EDMvrb5PA5TP0VQ8z9p82
Charli xcx,25uiPmTg16RbhZWAqwLBy5,Good Ones,0,"['hyperpop', 'art pop']",5177024,spotify:track:4hHqliCVAYeROLbhQpv1US
The Farm,3lN1TG4RIoaJCff6Ck9KUR,"All Together Now - 7"" Version",0,"['madchester', 'britpop']",70135,spotify:track:18bvVJcx423ycBsSQKrSQC
Bronski Beat,2wpWOzQE5TpA0dVnh5YD08,Smalltown Boy,0,"['synthpop', 'hi-nrg']",644559,spotify:track:4JwX4P2xAyavVBiC7xyfx7
Dehd,6yzuBFtT6dK2aQMZJZtcB1,Bad Love,0,[],102399,spotify:track:3MEYOBGJlvDgG99hSKIDQH
Tom Misch,1uiEZYehlNivdK3iQyAbye,Memory,0,[],1314095,spotify:track:6PVuMhSlLOt7QHhIkNyvii
alt-J,3XHO7cRUPCLOr6jwp8vsx5,Something Good,0,"['indie', 'indie rock']",3389632,spotify:track:4VPZX5qq0mujdIrVhLFROu
UOHO,0f89nikbDhsc9XBL1cFtG4,Dentro de una Botella,0,[],7871,spotify:track:0WXVhbm2m28udylUUWw07h
Bronze Radio Return,2ic4xySjQ39N7DJ0HZemeG,With Me All Along,0,[],82409,spotify:track:407tDPFK5oB7hxSDl5Tg4O
RELATIN,0t3hsCFzCFOP4Zev9DOIw8,Oye Como Va (Boombass Remix),0,['nu disco'],1728,spotify:track:44gZlCo4NedZYrNNuwzUWr
Bat For Lashes,6l77PmL5iuEEcYjGl8K6s7,Moon And Moon,0,"['art pop', 'dream pop']",385442,spotify:track:7HaNlbEP3u3WAxNxVC6M5m
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,Black Beatles,1,[],7660321,spotify:track:21xJVN5wEbJogczYxfZhqR
Journey,0rvjqX7ttXeg3mTy8Xscbt,Who's Crying Now,1,"['album rock', 'classic rock']",6089639,spotify:track:5IK2FtuC0qmHHam9sWFxUI
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Bitch Better Have My Money,1,[],66203573,spotify:track:5lnsCyEKWofnC00U4Ax0ti
DNCE,6T5tfhQCknKG4UnH90qGnz,Cake By The Ocean,1,[],4569403,spotify:track:2aFiaMXmWsM3Vj72F9ksBl
Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Another Chance - Radio Edit,1,"['disco house', 'tribal house']",158392,spotify:track:0EvphKjVl4hVGvvAFYoJt1
Kiesza,4zxvC7CRGvggq9EWXOpwAo,Hideaway,1,[],308823,spotify:track:1iXBApi39l5r6lJj9WEXXS
C. Tangana,5TYxZTjIPqKM8K8NuP9woO,Antes de Morirme (feat. Rosalía),1,['flamenco'],2952696,spotify:track:7aFBy1CBLGnZE1Iv6TvEZE
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Miss Alissa,1,"['stoner rock', 'garage rock']",560177,spotify:track:0YQXMFYxfHNagYPgQvurKH
Niños Del Brasil,6ffexYwpPksMYHtzdQS1gn,Viernes (Nb2-Dc11's) [Version Album],1,['synthpop'],2475,spotify:track:3V7au1meEpOii8qZ5A89uR
Ron Gallo,4rfE3kN2zKNC9L9tt3iVOg,"Young Lady, You're Scaring Me",1,['garage rock'],84924,spotify:track:6PtIXICwmoxCgLjw2zApDs
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,2,[],102259045,spotify:track:7lQqaqZu0vjxzpdATOIsDt
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Dog Days Are Over,2,['baroque pop'],7060022,spotify:track:15ya59dZ8yGeIfZARiYDjd
Electronic Opium,4ay9z5V7HR59WVPpj4CNQ9,Glorious Machines,2,[],292,spotify:track:5y7Y3Zmhl86uOYH7CqXMLX
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Can't Feel My Face,2,[],102259045,spotify:track:6RsWqX8zABZLhZydXxEFOm
Adele,4dpARuHxo51G3z768sgnrY,Set Fire to the Rain,2,['soft pop'],63263700,spotify:track:5PKWUDfQFtc5qqo8cs1gQp
The Crab Apples,6u98K0jUUoIvIG5mPXRIWZ,Open Your Mind,2,[],5478,spotify:track:5klp3A685gXayCcElo8U4Z
Plastic Bertrand,1KeIof0zqga5ojkmOKg88P,Ca plane pour moi,2,[],59561,spotify:track:71yCMlsD6qbD7NmNUEoVNR
Simple Minds,6hN9F0iuULZYWXppob22Aj,Don't You (Forget About Me),2,['new wave'],2195014,spotify:track:4aWn4NHlELpOehxsBaQeoe
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,Red Eyes,2,['indie rock'],981613,spotify:track:71jGGLe5VtEHjIk5dU2W3S
Nilo MC,4zdVsxjN5vIDwGh1h8ZgWp,El puente,2,[],3421,spotify:track:4eSmiBdpFDwaMLkwHzNzmB
Pony Bravo,2e1wMFU6VpZkcLil2g7MrF,Rey Boabdil,3,[],25059,spotify:track:4vPUoPcZHOYNGYLgWhTLUe
